year,industry,occupation,job_vacancy_rate
2007,food and beverage services,"clerical, sales and services workers",2.9
2007,food and beverage services,"production and transport operators, cleaners and labourers",2.8
2007,information and communications,"professionals, managers, executives and technicians",2.8
2007,information and communications,"clerical, sales and services workers",2.6
2007,information and communications,"production and transport operators, cleaners and labourers",-
2007,"telecommunications, broadcasting and publishing","professionals, managers, executives and technicians",2.6
2007,"telecommunications, broadcasting and publishing","clerical, sales and services workers",2.6
2007,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",-
2007,it and other information services,"professionals, managers, executives and technicians",2.8
2007,it and other information services,"clerical, sales and services workers",2.8
2007,it and other information services,"production and transport operators, cleaners and labourers",-
2007,financial and insurance services,"professionals, managers, executives and technicians",2.5
2007,financial and insurance services,"clerical, sales and services workers",2
2007,financial and insurance services,"production and transport operators, cleaners and labourers",5.6
2007,financial services,"professionals, managers, executives and technicians",2.4
2007,financial services,"clerical, sales and services workers",2.1
2007,financial services,"production and transport operators, cleaners and labourers",5.7
2007,insurance services,"professionals, managers, executives and technicians",3.5
2007,insurance services,"clerical, sales and services workers",1.8
2007,insurance services,"production and transport operators, cleaners and labourers",-
2007,real estate services,"professionals, managers, executives and technicians",2
2007,real estate services,"clerical, sales and services workers",2.3
2007,real estate services,"production and transport operators, cleaners and labourers",2.2
2007,professional services,"professionals, managers, executives and technicians",3.9
2007,professional services,"clerical, sales and services workers",2.8
2007,professional services,"production and transport operators, cleaners and labourers",2.2
2007,"legal, accounting and management services","professionals, managers, executives and technicians",3.7
2007,"legal, accounting and management services","clerical, sales and services workers",3.1
2007,"legal, accounting and management services","production and transport operators, cleaners and labourers",1.7
2007,architectural and engineering services,"professionals, managers, executives and technicians",4
2007,architectural and engineering services,"clerical, sales and services workers",2.6
2007,architectural and engineering services,"production and transport operators, cleaners and labourers",2.7
2007,other professional services,"professionals, managers, executives and technicians",4.2
2007,other professional services,"clerical, sales and services workers",-
2007,other professional services,"production and transport operators, cleaners and labourers",-
2007,administrative and support services,"professionals, managers, executives and technicians",2.5
2007,administrative and support services,"clerical, sales and services workers",6.2
2007,administrative and support services,"production and transport operators, cleaners and labourers",2.5
2007,security and investigation,"professionals, managers, executives and technicians",-
2007,security and investigation,"clerical, sales and services workers",7
2007,security and investigation,"production and transport operators, cleaners and labourers",-
2007,cleaning and landscaping,"professionals, managers, executives and technicians",-
2007,cleaning and landscaping,"clerical, sales and services workers",-
2007,cleaning and landscaping,"production and transport operators, cleaners and labourers",2.1
2007,other administrative and support services,"professionals, managers, executives and technicians",2.4
2007,other administrative and support services,"clerical, sales and services workers",3.2
2007,other administrative and support services,"production and transport operators, cleaners and labourers",3.1
2007,"community, social and personal services","professionals, managers, executives and technicians",3.5
2007,"community, social and personal services","clerical, sales and services workers",3.7
2007,"community, social and personal services","production and transport operators, cleaners and labourers",2.7
2007,public administration and education,"professionals, managers, executives and technicians",3.9
2007,public administration and education,"clerical, sales and services workers",4.3
2007,public administration and education,"production and transport operators, cleaners and labourers",1.3
2007,health and social services,"professionals, managers, executives and technicians",2.4
2007,health and social services,"clerical, sales and services workers",3.2
2007,health and social services,"production and transport operators, cleaners and labourers",4.5
2007,"arts, entertainment and recreation","professionals, managers, executives and technicians",4.4
2007,"arts, entertainment and recreation","clerical, sales and services workers",2.9
2007,"arts, entertainment and recreation","production and transport operators, cleaners and labourers",-
2007,"other community, social and personal services","professionals, managers, executives and technicians",2.8
2007,"other community, social and personal services","clerical, sales and services workers",3.8
2007,"other community, social and personal services","production and transport operators, cleaners and labourers",2.6
2007,others,"professionals, managers, executives and technicians",5.1
2007,others,"clerical, sales and services workers",-
2007,others,"production and transport operators, cleaners and labourers",-
2008,manufacturing,"professionals, managers, executives and technicians",2.2
2008,manufacturing,"clerical, sales and services workers",1.7
2008,manufacturing,"production and transport operators, cleaners and labourers",1.2
2008,"food, beverages and tobacco","professionals, managers, executives and technicians",2
2008,"food, beverages and tobacco","clerical, sales and services workers",2.1
2008,"food, beverages and tobacco","production and transport operators, cleaners and labourers",1.4
2008,"paper,rubber,plastic products and printing","professionals, managers, executives and technicians",2.1
2008,"paper,rubber,plastic products and printing","clerical, sales and services workers",1.9
2008,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.3
2008,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",2.1
2008,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2008,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.6
2008,"fabricated metal products, machinery and equipment","professionals, managers, executives and technicians",2.2
2008,"fabricated metal products, machinery and equipment","clerical, sales and services workers",1.4
2008,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.5
2008,"electronic, computer and optical products","professionals, managers, executives and technicians",1.9
2008,"electronic, computer and optical products","clerical, sales and services workers",2.6
2008,"electronic, computer and optical products","production and transport operators, cleaners and labourers",0.7
2008,transport equipment,"professionals, managers, executives and technicians",3.4
2008,transport equipment,"clerical, sales and services workers",1.7
2008,transport equipment,"production and transport operators, cleaners and labourers",1.3
2008,other manufacturing industries,"professionals, managers, executives and technicians",2.2
2008,other manufacturing industries,"clerical, sales and services workers",-
2008,other manufacturing industries,"production and transport operators, cleaners and labourers",1.2
2008,construction,"professionals, managers, executives and technicians",2.8
2008,construction,"clerical, sales and services workers",1.6
2008,construction,"production and transport operators, cleaners and labourers",1.3
2008,services,"professionals, managers, executives and technicians",3
2008,services,"clerical, sales and services workers",3
2008,services,"production and transport operators, cleaners and labourers",2.3
2008,wholesale and retail trade,"professionals, managers, executives and technicians",1.9
2008,wholesale and retail trade,"clerical, sales and services workers",2.4
2008,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.6
2008,wholesale trade,"professionals, managers, executives and technicians",1.9
2008,wholesale trade,"clerical, sales and services workers",1.8
2008,wholesale trade,"production and transport operators, cleaners and labourers",1.6
2008,retail trade,"professionals, managers, executives and technicians",1.8
2008,retail trade,"clerical, sales and services workers",2.9
2008,retail trade,"production and transport operators, cleaners and labourers",1.9
2008,transportation and storage,"professionals, managers, executives and technicians",2.5
2008,transportation and storage,"clerical, sales and services workers",1.6
2008,transportation and storage,"production and transport operators, cleaners and labourers",2
2008,land transport and supporting services,"professionals, managers, executives and technicians",-
2008,land transport and supporting services,"clerical, sales and services workers",1.8
2008,land transport and supporting services,"production and transport operators, cleaners and labourers",3.6
2008,water transport and supporting services,"professionals, managers, executives and technicians",1.4
2008,water transport and supporting services,"clerical, sales and services workers",1.1
2008,water transport and supporting services,"production and transport operators, cleaners and labourers",1.7
2008,air transport and supporting services,"professionals, managers, executives and technicians",6.4
2008,air transport and supporting services,"clerical, sales and services workers",1.6
2008,air transport and supporting services,"production and transport operators, cleaners and labourers",-
2008,other transport and storage services,"professionals, managers, executives and technicians",1.8
2008,other transport and storage services,"clerical, sales and services workers",1.6
2008,other transport and storage services,"production and transport operators, cleaners and labourers",1.1
2008,accommodation and food services,"professionals, managers, executives and technicians",2.6
2008,accommodation and food services,"clerical, sales and services workers",3
2008,accommodation and food services,"production and transport operators, cleaners and labourers",3.3
2008,accommodation,"professionals, managers, executives and technicians",3
2008,accommodation,"clerical, sales and services workers",3.3
2008,accommodation,"production and transport operators, cleaners and labourers",2.8
2008,food and beverage services,"professionals, managers, executives and technicians",2.3
2008,food and beverage services,"clerical, sales and services workers",2.9
2008,food and beverage services,"production and transport operators, cleaners and labourers",3.5
2008,information and communications,"professionals, managers, executives and technicians",2.9
2008,information and communications,"clerical, sales and services workers",2.5
2008,information and communications,"production and transport operators, cleaners and labourers",-
2008,"telecommunications, broadcasting and publishing","professionals, managers, executives and technicians",2.1
2008,"telecommunications, broadcasting and publishing","clerical, sales and services workers",2.8
2008,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",-
2008,it and other information services,"professionals, managers, executives and technicians",3.5
2008,it and other information services,"clerical, sales and services workers",-
2008,it and other information services,"production and transport operators, cleaners and labourers",-
2008,financial and insurance services,"professionals, managers, executives and technicians",1.9
2008,financial and insurance services,"clerical, sales and services workers",1.8
2008,financial and insurance services,"production and transport operators, cleaners and labourers",3
2008,financial services,"professionals, managers, executives and technicians",1.6
2008,financial services,"clerical, sales and services workers",1.6
2008,financial services,"production and transport operators, cleaners and labourers",3
2008,insurance services,"professionals, managers, executives and technicians",4.5
2008,insurance services,"clerical, sales and services workers",2.4
2008,insurance services,"production and transport operators, cleaners and labourers",-
2008,real estate services,"professionals, managers, executives and technicians",2.6
2008,real estate services,"clerical, sales and services workers",2.3
2008,real estate services,"production and transport operators, cleaners and labourers",1.4
2008,professional services,"professionals, managers, executives and technicians",2.7
2008,professional services,"clerical, sales and services workers",2.2
2008,professional services,"production and transport operators, cleaners and labourers",3.6
2008,"legal, accounting and management services","professionals, managers, executives and technicians",2.6
2008,"legal, accounting and management services","clerical, sales and services workers",2.2
2008,"legal, accounting and management services","production and transport operators, cleaners and labourers",2.4
2008,architectural and engineering services,"professionals, managers, executives and technicians",2.5
2008,architectural and engineering services,"clerical, sales and services workers",2.1
2008,architectural and engineering services,"production and transport operators, cleaners and labourers",4.5
2008,other professional services,"professionals, managers, executives and technicians",3.4
2008,other professional services,"clerical, sales and services workers",2.8
2008,other professional services,"production and transport operators, cleaners and labourers",-
2008,administrative and support services,"professionals, managers, executives and technicians",3.3
2008,administrative and support services,"clerical, sales and services workers",5.4
2008,administrative and support services,"production and transport operators, cleaners and labourers",2.8
2008,security and investigation,"professionals, managers, executives and technicians",5.6
2008,security and investigation,"clerical, sales and services workers",6.1
2008,security and investigation,"production and transport operators, cleaners and labourers",14.1
2008,cleaning and landscaping,"professionals, managers, executives and technicians",-
2008,cleaning and landscaping,"clerical, sales and services workers",5
2008,cleaning and landscaping,"production and transport operators, cleaners and labourers",2.4
2008,other administrative and support services,"professionals, managers, executives and technicians",2.9
2008,other administrative and support services,"clerical, sales and services workers",2.3
2008,other administrative and support services,"production and transport operators, cleaners and labourers",3.2
2008,"community, social and personal services","professionals, managers, executives and technicians",4.2
2008,"community, social and personal services","clerical, sales and services workers",4.3
2008,"community, social and personal services","production and transport operators, cleaners and labourers",2.5
2008,public administration and education,"professionals, managers, executives and technicians",5
2008,public administration and education,"clerical, sales and services workers",6.8
2008,public administration and education,"production and transport operators, cleaners and labourers",1.5
2008,health and social services,"professionals, managers, executives and technicians",2.4
2008,health and social services,"clerical, sales and services workers",2.8
2008,health and social services,"production and transport operators, cleaners and labourers",3.7
2008,"arts, entertainment and recreation","professionals, managers, executives and technicians",3.6
2008,"arts, entertainment and recreation","clerical, sales and services workers",2.6
2008,"arts, entertainment and recreation","production and transport operators, cleaners and labourers",-
2008,"other community, social and personal services","professionals, managers, executives and technicians",3.1
2008,"other community, social and personal services","clerical, sales and services workers",2.8
2008,"other community, social and personal services","production and transport operators, cleaners and labourers",2.6
2008,others,"professionals, managers, executives and technicians",3.3
2008,others,"clerical, sales and services workers",-
2008,others,"production and transport operators, cleaners and labourers",1.5
2009,manufacturing,"professionals, managers, executives and technicians",1.3
2009,manufacturing,"clerical, sales and services workers",1.2
2009,manufacturing,"production and transport operators, cleaners and labourers",1.2
2009,"food, beverages and tobacco","professionals, managers, executives and technicians",-
2009,"food, beverages and tobacco","clerical, sales and services workers",1.6
2009,"food, beverages and tobacco","production and transport operators, cleaners and labourers",1.3
2009,"paper,rubber,plastic products and printing","professionals, managers, executives and technicians",1
2009,"paper,rubber,plastic products and printing","clerical, sales and services workers",-
2009,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.1
2009,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",1.6
2009,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2009,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1
2009,"fabricated metal products, machinery and equipment","professionals, managers, executives and technicians",1.2
2009,"fabricated metal products, machinery and equipment","clerical, sales and services workers",0.8
2009,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",0.9
2009,"electronic, computer and optical products","professionals, managers, executives and technicians",1.1
2009,"electronic, computer and optical products","clerical, sales and services workers",-
2009,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1.2
2009,transport equipment,"professionals, managers, executives and technicians",1.9
2009,transport equipment,"clerical, sales and services workers",1.5
2009,transport equipment,"production and transport operators, cleaners and labourers",1.3
2009,other manufacturing industries,"professionals, managers, executives and technicians",1.3
2009,other manufacturing industries,"clerical, sales and services workers",1.6
2009,other manufacturing industries,"production and transport operators, cleaners and labourers",1.7
2009,construction,"professionals, managers, executives and technicians",1.7
2009,construction,"clerical, sales and services workers",0.7
2009,construction,"production and transport operators, cleaners and labourers",0.7
2009,services,"professionals, managers, executives and technicians",2.6
2009,services,"clerical, sales and services workers",2.3
2009,services,"production and transport operators, cleaners and labourers",1.6
2009,wholesale and retail trade,"professionals, managers, executives and technicians",1.2
2009,wholesale and retail trade,"clerical, sales and services workers",1.9
2009,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.2
2009,wholesale trade,"professionals, managers, executives and technicians",1.2
2009,wholesale trade,"clerical, sales and services workers",1.5
2009,wholesale trade,"production and transport operators, cleaners and labourers",1.2
2009,retail trade,"professionals, managers, executives and technicians",1.4
2009,retail trade,"clerical, sales and services workers",2.4
2009,retail trade,"production and transport operators, cleaners and labourers",1.2
2009,transportation and storage,"professionals, managers, executives and technicians",1.8
2009,transportation and storage,"clerical, sales and services workers",1.1
2009,transportation and storage,"production and transport operators, cleaners and labourers",1.2
2009,land transport and supporting services,"professionals, managers, executives and technicians",-
2009,land transport and supporting services,"clerical, sales and services workers",-
2009,land transport and supporting services,"production and transport operators, cleaners and labourers",1.8
2009,water transport and supporting services,"professionals, managers, executives and technicians",0.8
2009,water transport and supporting services,"clerical, sales and services workers",-
2009,water transport and supporting services,"production and transport operators, cleaners and labourers",0.6
2009,air transport and supporting services,"professionals, managers, executives and technicians",6.1
2009,air transport and supporting services,"clerical, sales and services workers",1.4
2009,air transport and supporting services,"production and transport operators, cleaners and labourers",-
2009,other transport and storage services,"professionals, managers, executives and technicians",0.9
2009,other transport and storage services,"clerical, sales and services workers",0.8
2009,other transport and storage services,"production and transport operators, cleaners and labourers",1.3
2009,accommodation and food services,"professionals, managers, executives and technicians",1.6
2009,accommodation and food services,"clerical, sales and services workers",2.4
2009,accommodation and food services,"production and transport operators, cleaners and labourers",2.8
2009,accommodation,"professionals, managers, executives and technicians",1.6
2009,accommodation,"clerical, sales and services workers",2.5
2009,accommodation,"production and transport operators, cleaners and labourers",2.7
2009,food and beverage services,"professionals, managers, executives and technicians",1.5
2009,food and beverage services,"clerical, sales and services workers",2.4
2009,food and beverage services,"production and transport operators, cleaners and labourers",2.9
2009,information and communications,"professionals, managers, executives and technicians",1.6
2009,information and communications,"clerical, sales and services workers",1.4
2009,information and communications,"production and transport operators, cleaners and labourers",-
2009,"telecommunications, broadcasting and publishing","professionals, managers, executives and technicians",1.6
2009,"telecommunications, broadcasting and publishing","clerical, sales and services workers",1.1
2009,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",-
2009,it and other information services,"professionals, managers, executives and technicians",1.6
2009,it and other information services,"clerical, sales and services workers",-
2009,it and other information services,"production and transport operators, cleaners and labourers",-
2009,financial and insurance services,"professionals, managers, executives and technicians",1.3
2009,financial and insurance services,"clerical, sales and services workers",1
2009,financial and insurance services,"production and transport operators, cleaners and labourers",1.4
2009,financial services,"professionals, managers, executives and technicians",1.1
2009,financial services,"clerical, sales and services workers",0.9
2009,financial services,"production and transport operators, cleaners and labourers",1.4
2009,insurance services,"professionals, managers, executives and technicians",2.8
2009,insurance services,"clerical, sales and services workers",1.6
2009,insurance services,"production and transport operators, cleaners and labourers",-
2009,real estate services,"professionals, managers, executives and technicians",2.8
2009,real estate services,"clerical, sales and services workers",2.1
2009,real estate services,"production and transport operators, cleaners and labourers",1.2
2009,professional services,"professionals, managers, executives and technicians",1.4
2009,professional services,"clerical, sales and services workers",1.4
2009,professional services,"production and transport operators, cleaners and labourers",1.7
2009,"legal, accounting and management services","professionals, managers, executives and technicians",1.3
2009,"legal, accounting and management services","clerical, sales and services workers",1.3
2009,"legal, accounting and management services","production and transport operators, cleaners and labourers",-
2009,architectural and engineering services,"professionals, managers, executives and technicians",1.2
2009,architectural and engineering services,"clerical, sales and services workers",-
2009,architectural and engineering services,"production and transport operators, cleaners and labourers",2.1
2009,other professional services,"professionals, managers, executives and technicians",2
2009,other professional services,"clerical, sales and services workers",3.3
2009,other professional services,"production and transport operators, cleaners and labourers",-
2009,administrative and support services,"professionals, managers, executives and technicians",1.8
2009,administrative and support services,"clerical, sales and services workers",4
2009,administrative and support services,"production and transport operators, cleaners and labourers",1.6
2009,security and investigation,"professionals, managers, executives and technicians",-
2009,security and investigation,"clerical, sales and services workers",4.7
2009,security and investigation,"production and transport operators, cleaners and labourers",-
2009,cleaning and landscaping,"professionals, managers, executives and technicians",-
2009,cleaning and landscaping,"clerical, sales and services workers",-
2009,cleaning and landscaping,"production and transport operators, cleaners and labourers",1.4
2009,other administrative and support services,"professionals, managers, executives and technicians",1.9
2009,other administrative and support services,"clerical, sales and services workers",1.8
2009,other administrative and support services,"production and transport operators, cleaners and labourers",1.8
2009,"community, social and personal services","professionals, managers, executives and technicians",4.6
2009,"community, social and personal services","clerical, sales and services workers",3.3
2009,"community, social and personal services","production and transport operators, cleaners and labourers",2.7
2009,public administration and education,"professionals, managers, executives and technicians",5.4
2009,public administration and education,"clerical, sales and services workers",4.4
2009,public administration and education,"production and transport operators, cleaners and labourers",1.7
2009,health and social services,"professionals, managers, executives and technicians",2.9
2009,health and social services,"clerical, sales and services workers",2.1
2009,health and social services,"production and transport operators, cleaners and labourers",2.6
2009,"arts, entertainment and recreation","professionals, managers, executives and technicians",4
2009,"arts, entertainment and recreation","clerical, sales and services workers",3.3
2009,"arts, entertainment and recreation","production and transport operators, cleaners and labourers",3.9
2009,"other community, social and personal services","professionals, managers, executives and technicians",1.9
2009,"other community, social and personal services","clerical, sales and services workers",2.6
2009,"other community, social and personal services","production and transport operators, cleaners and labourers",2.8
2009,others,"professionals, managers, executives and technicians",2.4
2009,others,"clerical, sales and services workers",-
2009,others,"production and transport operators, cleaners and labourers",1.5
2010,manufacturing,"professionals, managers, executives and technicians",2.5
2010,manufacturing,"clerical, sales and services workers",1.9
2010,manufacturing,"production and transport operators, cleaners and labourers",1.9
2010,"food, beverages and tobacco","professionals, managers, executives and technicians",1.5
2010,"food, beverages and tobacco","clerical, sales and services workers",2.6
2010,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.3
2010,"paper,rubber,plastic products and printing","professionals, managers, executives and technicians",2
2010,"paper,rubber,plastic products and printing","clerical, sales and services workers",1.9
2010,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.9
2010,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",1.5
2010,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2010,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.6
2010,"fabricated metal products, machinery and equipment","professionals, managers, executives and technicians",2.3
2010,"fabricated metal products, machinery and equipment","clerical, sales and services workers",1.6
2010,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.6
2010,"electronic, computer and optical products","professionals, managers, executives and technicians",3.2
2010,"electronic, computer and optical products","clerical, sales and services workers",1.3
2010,"electronic, computer and optical products","production and transport operators, cleaners and labourers",2.5
2010,transport equipment,"professionals, managers, executives and technicians",2.1
2010,transport equipment,"clerical, sales and services workers",2
2010,transport equipment,"production and transport operators, cleaners and labourers",1.5
2010,other manufacturing industries,"professionals, managers, executives and technicians",2.2
2010,other manufacturing industries,"clerical, sales and services workers",2
2010,other manufacturing industries,"production and transport operators, cleaners and labourers",2.6
2010,construction,"professionals, managers, executives and technicians",2.1
2010,construction,"clerical, sales and services workers",1.3
2010,construction,"production and transport operators, cleaners and labourers",1
2010,services,"professionals, managers, executives and technicians",3
2010,services,"clerical, sales and services workers",3.1
2010,services,"production and transport operators, cleaners and labourers",2.7
2010,wholesale and retail trade,"professionals, managers, executives and technicians",1.9
2010,wholesale and retail trade,"clerical, sales and services workers",2.8
2010,wholesale and retail trade,"production and transport operators, cleaners and labourers",2.4
2010,wholesale trade,"professionals, managers, executives and technicians",1.9
2010,wholesale trade,"clerical, sales and services workers",2.1
2010,wholesale trade,"production and transport operators, cleaners and labourers",2.1
2010,retail trade,"professionals, managers, executives and technicians",2
2010,retail trade,"clerical, sales and services workers",3.5
2010,retail trade,"production and transport operators, cleaners and labourers",3.6
2010,transportation and storage,"professionals, managers, executives and technicians",2.3
2010,transportation and storage,"clerical, sales and services workers",2.2
2010,transportation and storage,"production and transport operators, cleaners and labourers",2.9
2010,land transport and supporting services,"professionals, managers, executives and technicians",2.6
2010,land transport and supporting services,"clerical, sales and services workers",2.2
2010,land transport and supporting services,"production and transport operators, cleaners and labourers",3.9
2010,water transport and supporting services,"professionals, managers, executives and technicians",1.2
2010,water transport and supporting services,"clerical, sales and services workers",1.8
2010,water transport and supporting services,"production and transport operators, cleaners and labourers",2.2
2010,air transport and supporting services,"professionals, managers, executives and technicians",6
2010,air transport and supporting services,"clerical, sales and services workers",2.7
2010,air transport and supporting services,"production and transport operators, cleaners and labourers",1.8
2010,other transport and storage services,"professionals, managers, executives and technicians",1.5
2010,other transport and storage services,"clerical, sales and services workers",1.6
2010,other transport and storage services,"production and transport operators, cleaners and labourers",2.6
2010,accommodation and food services,"professionals, managers, executives and technicians",2.7
2010,accommodation and food services,"clerical, sales and services workers",4.1
2010,accommodation and food services,"production and transport operators, cleaners and labourers",4.9
2010,accommodation,"professionals, managers, executives and technicians",3
2010,accommodation,"clerical, sales and services workers",4.7
2010,accommodation,"production and transport operators, cleaners and labourers",4.7
2010,food and beverage services,"professionals, managers, executives and technicians",2.5
2010,food and beverage services,"clerical, sales and services workers",4
2010,food and beverage services,"production and transport operators, cleaners and labourers",5
2010,information and communications,"professionals, managers, executives and technicians",2.9
2010,information and communications,"clerical, sales and services workers",1.5
2010,information and communications,"production and transport operators, cleaners and labourers",-
2010,"telecommunications, broadcasting and publishing","professionals, managers, executives and technicians",2.9
2010,"telecommunications, broadcasting and publishing","clerical, sales and services workers",1.6
2010,"telecommunications, broadcasting and publishing","production and transport operators, cleaners and labourers",-
2010,it and other information services,"professionals, managers, executives and technicians",3
2010,it and other information services,"clerical, sales and services workers",-
2010,it and other information services,"production and transport operators, cleaners and labourers",-
2010,financial and insurance services,"professionals, managers, executives and technicians",2.5
2010,financial and insurance services,"clerical, sales and services workers",2.2
2010,financial and insurance services,"production and transport operators, cleaners and labourers",-
2010,financial services,"professionals, managers, executives and technicians",2.4
2010,financial services,"clerical, sales and services workers",2.2
2010,financial services,"production and transport operators, cleaners and labourers",-
2010,insurance services,"professionals, managers, executives and technicians",3.7
2010,insurance services,"clerical, sales and services workers",2.2
2010,insurance services,"production and transport operators, cleaners and labourers",-
2010,real estate services,"professionals, managers, executives and technicians",3.5
2010,real estate services,"clerical, sales and services workers",2.6
2010,real estate services,"production and transport operators, cleaners and labourers",2.5
2010,professional services,"professionals, managers, executives and technicians",2.2
2010,professional services,"clerical, sales and services workers",2
2010,professional services,"production and transport operators, cleaners and labourers",1
2010,"legal, accounting and management services","professionals, managers, executives and technicians",2.4
2010,"legal, accounting and management services","clerical, sales and services workers",1.8
2010,"legal, accounting and management services","production and transport operators, cleaners and labourers",2
2010,architectural and engineering services,"professionals, managers, executives and technicians",1.6
2010,architectural and engineering services,"clerical, sales and services workers",-
2010,architectural and engineering services,"production and transport operators, cleaners and labourers",0.7
2010,other professional services,"professionals, managers, executives and technicians",2.5
2010,other professional services,"clerical, sales and services workers",4.3
2010,other professional services,"production and transport operators, cleaners and labourers",-
2010,administrative and support services,"professionals, managers, executives and technicians",2.4
2010,administrative and support services,"clerical, sales and services workers",4.8
2010,administrative and support services,"production and transport operators, cleaners and labourers",2.5
2010,security and investigation,"professionals, managers, executives and technicians",-
2010,security and investigation,"clerical, sales and services workers",5.5
2010,security and investigation,"production and transport operators, cleaners and labourers",7.1
2010,cleaning and landscaping,"professionals, managers, executives and technicians",-
2010,cleaning and landscaping,"clerical, sales and services workers",-
2010,cleaning and landscaping,"production and transport operators, cleaners and labourers",2.4
2010,other administrative and support services,"professionals, managers, executives and technicians",2.3
2010,other administrative and support services,"clerical, sales and services workers",2.9
2010,other administrative and support services,"production and transport operators, cleaners and labourers",2.5
2010,"community, social and personal services","professionals, managers, executives and technicians",4.2
2010,"community, social and personal services","clerical, sales and services workers",3.2
2010,"community, social and personal services","production and transport operators, cleaners and labourers",3.1
2010,public administration and education,"professionals, managers, executives and technicians",4.8
2010,public administration and education,"clerical, sales and services workers",3.5
2010,public administration and education,"production and transport operators, cleaners and labourers",1.5
2010,health and social services,"professionals, managers, executives and technicians",3.2
2010,health and social services,"clerical, sales and services workers",2.3
2010,health and social services,"production and transport operators, cleaners and labourers",1.9
2010,"arts, entertainment and recreation","professionals, managers, executives and technicians",3.1
2010,"arts, entertainment and recreation","clerical, sales and services workers",3.5
2010,"arts, entertainment and recreation","production and transport operators, cleaners and labourers",3.8
2010,"other community, social and personal services","professionals, managers, executives and technicians",2.9
2010,"other community, social and personal services","clerical, sales and services workers",3.2
2010,"other community, social and personal services","production and transport operators, cleaners and labourers",4.8
2010,others,"professionals, managers, executives and technicians",2.9
2010,others,"clerical, sales and services workers",-
2010,others,"production and transport operators, cleaners and labourers",1.5
2011,manufacturing,"professionals, managers, executives and technicians",2.5
2011,manufacturing,"clerical, sales and services workers",2.6
2011,manufacturing,"production and transport operators, cleaners and labourers",2.1
2011,"food, beverages and tobacco","professionals, managers, executives and technicians",2
2011,"food, beverages and tobacco","clerical, sales and services workers",3.8
2011,"food, beverages and tobacco","production and transport operators, cleaners and labourers",3
2011,"paper,rubber,plastic products and printing","professionals, managers, executives and technicians",2.2
2011,"paper,rubber,plastic products and printing","clerical, sales and services workers",-
2011,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",1.9
2011,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",1.6
2011,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2011,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.5
2011,"fabricated metal products, machinery and equipment","professionals, managers, executives and technicians",2.7
2011,"fabricated metal products, machinery and equipment","clerical, sales and services workers",2.1
2011,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1.9
2011,"electronic, computer and optical products","professionals, managers, executives and technicians",2.7
2011,"electronic, computer and optical products","clerical, sales and services workers",3.3
2011,"electronic, computer and optical products","production and transport operators, cleaners and labourers",2.4
2011,transport equipment,"professionals, managers, executives and technicians",2.9
2011,transport equipment,"clerical, sales and services workers",2.6
2011,transport equipment,"production and transport operators, cleaners and labourers",2
2011,other manufacturing industries,"professionals, managers, executives and technicians",1.9
2011,other manufacturing industries,"clerical, sales and services workers",2
2011,other manufacturing industries,"production and transport operators, cleaners and labourers",2.1
2011,construction,"professionals, managers, executives and technicians",1.6
2011,construction,"clerical, sales and services workers",1.4
2011,construction,"production and transport operators, cleaners and labourers",1.5
2011,services,"professionals, managers, executives and technicians",3.1
2011,services,"clerical, sales and services workers",3.7
2011,services,"production and transport operators, cleaners and labourers",3.1
2011,wholesale and retail trade,"professionals, managers, executives and technicians",2.2
2011,wholesale and retail trade,"clerical, sales and services workers",3
2011,wholesale and retail trade,"production and transport operators, cleaners and labourers",2.5
2011,wholesale trade,"professionals, managers, executives and technicians",2.2
2011,wholesale trade,"clerical, sales and services workers",2
2011,wholesale trade,"production and transport operators, cleaners and labourers",2.1
